repo,sha,parent,child,lic_parent,lic_child
apache/airflow,,@typescript-eslint/typescript-estree,minimatch,unknown,ISC
apache/airflow,,@typescript-eslint/typescript-estree,ts-api-utils,unknown,MIT
apache/airflow,,@typescript-eslint/typescript-estree,semver,unknown,ISC
apache/airflow,,@typescript-eslint/typescript-estree,typescript,unknown,Apache-2.0
apache/airflow,,@typescript-eslint/typescript-estree,@typescript-eslint/types,unknown,MIT
apache/airflow,,@typescript-eslint/typescript-estree,debug,unknown,MIT
apache/airflow,,@typescript-eslint/typescript-estree,@typescript-eslint/visitor-keys,unknown,MIT
apache/airflow,,@typescript-eslint/typescript-estree,@typescript-eslint/tsconfig-utils,unknown,MIT
apache/airflow,,@typescript-eslint/typescript-estree,@typescript-eslint/project-service,unknown,unknown
apache/airflow,,fast-glob,micromatch,MIT,unknown
apache/airflow,,fast-glob,glob-parent,MIT,ISC
apache/airflow,,fast-glob,merge2,MIT,MIT
apache/airflow,,fast-glob,@nodelib/fs.walk,MIT,unknown
apache/airflow,,fast-glob,@nodelib/fs.stat,MIT,MIT
apache/airflow,,is-glob,is-extglob,MIT,MIT
apache/airflow,,minimatch,brace-expansion,ISC,unknown
apache/airflow,,ts-api-utils,typescript,MIT,Apache-2.0
apache/airflow,,debug,ms,MIT,MIT
apache/airflow,,@typescript-eslint/visitor-keys,@typescript-eslint/types,MIT,MIT
apache/airflow,,@typescript-eslint/visitor-keys,eslint-visitor-keys,MIT,Apache-2.0
apache/airflow,,unbox-primitive,has-symbols,unknown,MIT
apache/airflow,,unbox-primitive,call-bound,unknown,MIT
apache/airflow,,unbox-primitive,which-boxed-primitive,unknown,MIT
apache/airflow,,unbox-primitive,has-bigints,unknown,MIT
apache/airflow,,@babel/generator,source-map,unknown,BSD-3-Clause
apache/airflow,,@babel/generator,jsesc,unknown,MIT
apache/airflow,,@babel/generator,@babel/types,unknown,unknown
apache/airflow,,@babel/generator,@jridgewell/trace-mapping,unknown,unknown
apache/airflow,,@babel/generator,@jridgewell/gen-mapping,unknown,unknown
apache/airflow,,@babel/generator,@babel/parser,unknown,MIT
apache/airflow,,@types/debug,@types/ms,unknown,MIT
apache/airflow,,property-information,xtend,unknown,MIT
apache/airflow,,esrecurse,estraverse,unknown,BSD-2-Clause
apache/airflow,,why-is-node-running,siginfo,unknown,ISC
apache/airflow,,why-is-node-running,stackback,unknown,MIT
apache/airflow,,@typescript-eslint/parser,typescript,unknown,Apache-2.0
apache/airflow,,@typescript-eslint/parser,@typescript-eslint/scope-manager,unknown,MIT
apache/airflow,,@typescript-eslint/parser,@typescript-eslint/types,unknown,MIT
