repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label
pallets/flask,,com.github.pallets/flask,click-plugins,unknown,BSD-2-Clause AND BSD-3-Clause,US,
pallets/flask,,com.github.pallets/flask,celery,unknown,BSD-2-Clause,US,
pallets/flask,,com.github.pallets/flask,pre-commit-ci/lite-action,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,actions/setup-python,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,kombu,unknown,BSD-2-Clause,US,
pallets/flask,,com.github.pallets/flask,click-didyoumean,unknown,MIT,US,
pallets/flask,,com.github.pallets/flask,markupsafe,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,billiard,unknown,BSD-2-Clause,US,
pallets/flask,,com.github.pallets/flask,pytz,unknown,MIT,US,
pallets/flask,,com.github.pallets/flask,actions/download-artifact,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,itsdangerous,unknown,unknown,US,
pallets/flask,,com.github.pallets/flask,amqp,unknown,BSD-2-Clause,US,
pallets/flask,,com.github.pallets/flask,redis,unknown,MIT,US,
pallets/flask,,com.github.pallets/flask,actions/checkout,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pytest-qt,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,sqlalchemy,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,pyiceberg,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,tzdata,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,gitpython,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,mamba-org/setup-micromamba,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,mymindstorm/setup-emsdk,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,numexpr,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,ipywidgets,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,asv,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,nbsphinx,unknown,unknown,US,
pandas-dev/pandas,,com.github.pandas-dev/pandas,flake8,unknown,MIT,US,
