repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label,label_source,label_confidence
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,scientific-python/circleci-artifacts-redirector-action,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,black,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pyyaml,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/attest-build-provenance,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pre-commit/action,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,matplotlib-inline,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/upload-artifact,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,reviewdog/action-eslint,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,meson,unknown,Apache-2.0,US,compatible,child_permissive,high
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,packaging,unknown,(Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause) OR (Apache-2.0 AND BSD-2-Clause),US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,ipykernel,unknown,BSD-2-Clause,US,compatible,child_permissive,high
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/checkout,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pyparsing,unknown,MIT,US,compatible,child_permissive,high
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,types-python-dateutil,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinxcontrib-svg2pdfconverter,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pystemmer,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,cygwin/cygwin-install-action,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinxcontrib-video,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,peter-evans/create-or-update-comment,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,fonttools,unknown,MIT,US,compatible,child_permissive,high
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,cycler,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pytest-rerunfailures,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinx,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pybind11,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,github/codeql-action/analyze,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,reviewdog/action-setup,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,nbconvert,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinx-gallery,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,@jsxtools/resize-observer,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pypa/gh-action-pypi-publish,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/labeler,unknown,unknown,US,compatible,default_compatible,low
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,codecov/codecov-action,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,actions/cache,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,async-timeout,unknown,Apache-2.0,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,flask,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,prompt-toolkit,unknown,BSD-2-Clause AND BSD-3-Clause,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,werkzeug,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,wcwidth,unknown,MIT,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,click-repl,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,pytest,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,astral-sh/setup-uv,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,actions/upload-artifact,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,pypa/gh-action-pypi-publish,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,click,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,jinja2,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,six,unknown,MIT,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,dessant/lock-threads,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,blinker,unknown,MIT,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,vine,unknown,BSD-2-Clause,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,click-plugins,unknown,BSD-2-Clause AND BSD-3-Clause,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,celery,unknown,BSD-2-Clause,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,pre-commit-ci/lite-action,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,actions/setup-python,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,kombu,unknown,BSD-2-Clause,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,click-didyoumean,unknown,MIT,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,markupsafe,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,billiard,unknown,BSD-2-Clause,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,pytz,unknown,MIT,US,compatible,child_permissive,high
pallets/flask,,com.github.pallets/flask,actions/download-artifact,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,itsdangerous,unknown,unknown,US,compatible,default_compatible,low
pallets/flask,,com.github.pallets/flask,amqp,unknown,BSD-2-Clause,US,compatible,child_permissive,high
